Successrate; Neg_Rewards; LearninRate; Discount; Exploration
0,003;-390;0;0,5;
0,921;-1958,5;0,01;0,5;
0,945;-1809,5;0,02;0,5;
0,945;-1753,5;0,03;0,5;
0,938;-1752;0,04;0,5;
0,954;-1573;0,05;0,5;
0,94;-1598,5;0,06;0,5;
0,959;-1535;0,07;0,5;
0,948;-1638;0,08;0,5;
0,95;-1486,5;0,09;0,5;
0,955;-1578;0,1;0,5;
0,939;-1769;0,11;0,5;
0,937;-1648;0,12;0,5;
0,904;-1884;0,13;0,5;
0,915;-1850,5;0,14;0,5;
0,926;-1650;0,15;0,5;
0,931;-1639,5;0,16;0,5;
0,887;-1670,5;0,17;0,5;
0,947;-1593,5;0,18;0,5;
0,934;-1564;0,19;0,5;
0,927;-1634;0,2;0,5;
0,907;-1604;0,21;0,5;
0,868;-1867,5;0,22;0,5;
0,922;-1442;0,23;0,5;
0,85;-1849;0,24;0,5;
0,882;-1714;0,25;0,5;
0,914;-1762,5;0,26;0,5;
0,879;-1781;0,27;0,5;
0,897;-1691,5;0,28;0,5;
0,926;-1617,5;0,29;0,5;
0,9;-1560;0,3;0,5;
0,86;-1689;0,31;0,5;
0,898;-1555,5;0,32;0,5;
0,745;-2064,5;0,33;0,5;
0,829;-1850;0,34;0,5;
0,88;-1737;0,35;0,5;
0,881;-1813,5;0,36;0,5;
0,881;-1752;0,37;0,5;
0,846;-1744;0,38;0,5;
0,896;-1618,5;0,39;0,5;
0,824;-1720;0,4;0,5;
0,844;-1697,5;0,41;0,5;
0,818;-1828,5;0,42;0,5;
0,796;-1840;0,43;0,5;
0,758;-1834;0,44;0,5;
0,832;-1788;0,45;0,5;
0,72;-1687,5;0,46;0,5;
0,819;-1546;0,47;0,5;
0,651;-1591;0,48;0,5;
0,684;-1537,5;0,49;0,5;
0,715;-1772;0,5;0,5;
0,738;-1685,5;0,51;0,5;
0,769;-1596;0,52;0,5;
0,5;-1427;0,53;0,5;
0,546;-1630,5;0,54;0,5;
0,653;-1652;0,55;0,5;
0,644;-1660,5;0,56;0,5;
0,59;-1642,5;0,57;0,5;
0,622;-1493;0,58;0,5;
0,509;-1504,5;0,59;0,5;
0,5;-1555;0,6;0,5;
0,486;-1396;0,61;0,5;
0,539;-1682;0,62;0,5;
0,504;-1468;0,63;0,5;
0,333;-1223,5;0,64;0,5;
0,474;-1248;0,65;0,5;
0,356;-1268,5;0,66;0,5;
0,353;-1248;0,67;0,5;
0,424;-1462;0,68;0,5;
0,357;-1179;0,69;0,5;
0,308;-1128,5;0,7;0,5;
0,268;-1250,5;0,71;0,5;
0,305;-1207;0,72;0,5;
0,302;-1235;0,73;0,5;
0,296;-1204,5;0,74;0,5;
0,305;-1096;0,75;0,5;
0,311;-1221;0,76;0,5;
0,286;-1123,5;0,77;0,5;
0,229;-1123;0,78;0,5;
0,261;-1107,5;0,79;0,5;
0,197;-1113,5;0,8;0,5;
0,128;-993,5;0,81;0,5;
0,164;-973,5;0,82;0,5;
0,153;-986,5;0,83;0,5;
0,157;-1083,5;0,84;0,5;
0,234;-1021,5;0,85;0,5;
0,155;-980;0,86;0,5;
0,137;-961,5;0,87;0,5;
0,149;-995,5;0,88;0,5;
0,129;-881;0,89;0,5;
0,158;-934,5;0,9;0,5;
0,148;-966;0,91;0,5;
0,086;-905,5;0,92;0,5;
0,096;-912,5;0,93;0,5;
0,095;-937;0,94;0,5;
0,117;-896,5;0,95;0,5;
0,126;-876,5;0,96;0,5;
0,112;-906,5;0,97;0,5;
0,097;-870;0,98;0,5;
0,11;-994;0,99;0,5;
