Successrate; Neg_Rewards; LearninRate; Discount
0,001; -422,0; 0,0; 0,9
0,949; -1553,0; 0,01; 0,9
0,948; -1372,5; 0,02; 0,9
0,697; -2052,0; 0,03; 0,9
0,947; -1358,0; 0,04; 0,9
0,967; -1473,5; 0,05; 0,9
0,96; -1574,0; 0,06; 0,9
0,937; -1753,0; 0,07; 0,9
0,662; -2332,0; 0,08; 0,9
0,886; -2587,5; 0,09; 0,9
0,944; -1465,5; 0,1; 0,9
0,933; -1769,5; 0,11; 0,9
0,622; -3735,0; 0,12; 0,9
0,693; -4666,0; 0,13; 0,9
0,622; -4945,5; 0,14; 0,9
0,862; -1980,5; 0,15; 0,9
0,732; -3882,0; 0,16; 0,9
0,781; -3520,5; 0,17; 0,9
0,633; -4452,0; 0,18; 0,9
0,623; -4871,5; 0,19; 0,9
0,657; -4833,5; 0,2; 0,9
0,694; -4053,5; 0,21; 0,9
0,531; -5126,5; 0,22; 0,9
0,634; -4651,0; 0,23; 0,9
0,601; -5161,0; 0,24; 0,9
0,729; -4611,0; 0,25; 0,9
0,581; -5208,0; 0,26; 0,9
0,508; -5736,5; 0,27; 0,9
0,534; -5125,5; 0,28; 0,9
0,548; -5477,0; 0,29; 0,9
0,695; -4177,5; 0,3; 0,9
0,638; -4544,0; 0,31; 0,9
0,677; -4124,0; 0,32; 0,9
0,644; -4073,5; 0,33; 0,9
0,473; -5391,5; 0,34; 0,9
0,659; -4677,0; 0,35; 0,9
0,562; -4765,0; 0,36; 0,9
0,545; -5195,5; 0,37; 0,9
0,641; -4434,0; 0,38; 0,9
0,631; -4907,0; 0,39; 0,9
0,568; -5134,0; 0,4; 0,9
0,581; -5063,5; 0,41; 0,9
0,543; -4896,5; 0,42; 0,9
0,524; -4899,5; 0,43; 0,9
0,49; -5249,5; 0,44; 0,9
0,452; -5655,5; 0,45; 0,9
0,55; -5184,5; 0,46; 0,9
0,552; -5261,5; 0,47; 0,9
0,535; -5383,0; 0,48; 0,9
0,632; -4403,0; 0,49; 0,9
0,526; -5272,5; 0,5; 0,9
0,482; -5108,0; 0,51; 0,9
0,513; -5153,0; 0,52; 0,9
0,545; -5214,5; 0,53; 0,9
0,518; -5470,0; 0,54; 0,9
0,479; -5104,5; 0,55; 0,9
0,538; -4850,5; 0,56; 0,9
0,457; -5469,0; 0,57; 0,9
0,505; -5378,0; 0,58; 0,9
0,481; -5231,0; 0,59; 0,9
0,509; -5141,0; 0,6; 0,9
0,479; -5186,5; 0,61; 0,9
0,527; -4813,5; 0,62; 0,9
0,434; -5531,0; 0,63; 0,9
0,504; -5133,0; 0,64; 0,9
0,493; -5121,0; 0,65; 0,9
0,473; -4999,0; 0,66; 0,9
0,479; -5400,0; 0,67; 0,9
0,496; -5498,5; 0,68; 0,9
0,492; -5194,5; 0,69; 0,9
0,457; -5523,0; 0,7; 0,9
0,459; -5238,5; 0,71; 0,9
0,441; -5384,0; 0,72; 0,9
0,437; -5463,0; 0,73; 0,9
0,455; -5353,0; 0,74; 0,9
0,529; -4510,5; 0,75; 0,9
0,503; -5000,5; 0,76; 0,9
0,508; -5039,5; 0,77; 0,9
0,449; -5626,5; 0,78; 0,9
0,512; -4969,5; 0,79; 0,9
0,375; -5782,0; 0,8; 0,9
0,421; -5443,0; 0,81; 0,9
0,449; -5095,0; 0,82; 0,9
0,391; -5469,5; 0,83; 0,9
0,466; -5154,5; 0,84; 0,9
0,425; -4999,0; 0,85; 0,9
0,501; -4863,5; 0,86; 0,9
0,46; -4836,0; 0,87; 0,9
0,462; -5236,0; 0,88; 0,9
0,484; -4843,0; 0,89; 0,9
0,402; -5306,5; 0,9; 0,9
0,449; -4907,0; 0,91; 0,9
0,471; -4668,5; 0,92; 0,9
0,524; -4638,5; 0,93; 0,9
0,357; -5002,0; 0,94; 0,9
0,38; -4714,0; 0,95; 0,9
0,37; -5195,5; 0,96; 0,9
0,4; -4965,0; 0,97; 0,9
0,418; -4826,0; 0,98; 0,9
0,497; -4384,5; 0,99; 0,9
