,junction_id,junction_type,x,y,z,isRoundabout,connections,avg_lane_speed,lane_speeds_std_deviation,avg_lane_length,lane_length_standard_deviation,edge_types,edge_prioities,number_of_lanes,intl_connections,intl_avg_lane_speed,intl_lane_speeds_std_deviation,intl_avg_lane_length,intl_lane_length_standard_deviation,intl_edge_types,intl_edge_prioities,intl_number_of_lanes,clusters_maxabs_3dimensions,clusters_robust_3dimensions,clusters_combined_3dimensions,clusters_combined_robust_3dimensions
0,1069892408,traffic_light,15648.06,25463.33,,False,"[[['276909180', '13085019', '1069892408', 's', 'o']], [['276909180', '13085019', '1069892408', 's', 'o']]]",13.89,0.0,1386.28,0.0,"['highway.secondary', 'highway.secondary']",7.0,2,,0,0,0,0,,0,0,3,5,7,0
1,1078684116,traffic_light,10903.98,17164.84,,False,"[[['6273360#0', '6273360#2', '1078684116', 's', 'o']]]",13.89,0.0,100.47,0.0,['highway.tertiary'],6.0,1,,0,0,0,0,,0,0,7,2,1,0
2,1078684132,traffic_light,10894.87,17145.52,,False,"[[['203932268#1', '204049629#2', 'GS_1078684132', 's', 'o']], [['204049629#0', '204049629#2', 'GS_1078684132', 's', 'o']]]",13.89,0.0,15.205,2.505,"['highway.tertiary_link', 'highway.tertiary']",5.5,2,,0,0,0,0,,0,0,7,2,1,0
3,10929961,traffic_light,12528.47,14510.88,,False,"[[['26155687#0', '26155687#1', '21760910', 's', 'o'], ['26155687#1', '-26155687#1', '10929961', 't', 'o']], [['26155687#0', '26155687#1', '21760910', 's', 'o'], ['26155687#1', '-26155687#1', '10929961', 't', 'o']], [['-36590980', '36590980', '10929961', 't', 'o']], [['-36590980', '36590980', '10929961', 't', 'o']], [['9207805', '-8759465#0', 'cluster_12952289_21760933_29670141', 'r', 'o'], ['-8759465#0', '8759465#0', '10929961', 't', 'o']], [['9207805', '-8759465#0', 'cluster_12952289_21760933_29670141', 'r', 'o'], ['-8759465#0', '8759465#0', '10929961', 't', 'o']], [['30767370#2', '-30767370#2', '10929961', 't', 'o']], [['30767370#2', '-30767370#2', '10929961', 't', 'o']]]",13.89,0.0,114.3625,22.2635311384,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary']",7.0,8,,0,0,0,0,,0,0,3,2,5,0
4,10989051,traffic_light,12712.39,14081.06,,False,"[[['313981599#0', '313981598#0', 'GS_10989051', 's', 'o']], [['313981599#0', '313981598#0', 'GS_10989051', 's', 'o']], [['2832027#1', '313981598#0', 'GS_10989051', 'r', 'o']]]",12.0366666667,2.6210091356,56.96,25.6821182927,"['highway.primary', 'highway.primary', 'highway.residential']",7.33333333333,3,,0,0,0,0,,0,0,6,0,7,0
5,112113814,traffic_light,13964.47,31302.37,,False,"[[['24940118', '-24940120#3', 'GS_271026038', 't', 'o'], ['-24940120#3', '24940118', '112113814', 't', 'o']], [['24940118', '-24940120#3', 'GS_271026038', 't', 'o'], ['-24940120#3', '24940118', '112113814', 't', 'o']], [['-12353234#0', '5415096#0', '112113814', 't', 'o']], [['-12353234#0', '5415096#0', '112113814', 't', 'o']], [['13767082#5', '-13767082#6', '112113814', 't', 'o']], [['13767082#5', '-13767082#6', '112113814', 't', 'o']]]",13.89,0.0,367.363333333,208.379004754,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary']",7.0,6,,0,0,0,0,,0,0,3,1,3,0
6,1142037884,traffic_light,12904.41,13853.46,,False,"[[['50629722', '129833340#2', 'GS_1354864', 's', 'o'], ['129833340#2', '129833341#0', 'GS_1142037884', 's', 'o']], [['50629722', '129833340#2', 'GS_1354864', 's', 'o'], ['129833340#2', '129833341#0', 'GS_1142037884', 's', 'o']], [['98715988#0', '129833341#0', 'GS_1142037884', 'l', 'o']]]",13.89,0.0,26.0666666667,7.06163972145,"['highway.secondary', 'highway.secondary', 'highway.secondary_link']",6.66666666667,3,,0,0,0,0,,0,0,3,2,1,0
7,116055816,traffic_light,26013.58,1482.99,,False,"[[['93902397#0', '-93902397#1', 'GS_116055816', 't', 'o']], [['-12701808#8', '12701808#7', 'GS_116055816', 't', 'o']], [['12701808#4', '-12701808#6', 'GS_116055816', 't', 'o']]]",8.33,0.0,70.0966666667,36.9294682093,"['highway.residential', 'highway.residential', 'highway.residential']",4.0,3,,0,0,0,0,,0,0,0,8,12,0
8,116066334,traffic_light,25100.05,1445.36,,False,"[[['12702483#2', '-12702483#4', '116066334', 't', 'o']], [['42555127#0', '96816919#0', '116066493', 's', 'o'], ['96816919#0', '-96816919#2', '116066334', 't', 'o']], [['98490086', '-96816919#3', '81696509', 'r', 'o'], ['-96816919#3', '96816919#3', '116066334', 't', 'o']]]",12.0366666667,2.6210091356,104.16,55.853141362,"['highway.residential', 'highway.primary', 'highway.primary']",7.33333333333,3,,0,0,0,0,,0,0,6,7,24,0
9,116066493,traffic_light,25166.88,1398.3,,False,"[[['93474699#0', '42555127#0', '116066994', 's', 'o'], ['42555127#0', '-42555127#1', '116066493', 't', 'o']], [['96816919#0', '-96816919#2', '116066334', 't', 'o'], ['-96816919#2', '96816919#0', '116066493', 't', 'o']]]",13.89,0.0,142.045,60.295,"['highway.primary', 'highway.primary']",9.0,2,,0,0,0,0,,0,0,5,1,8,0
