,Collisions,DepartDelay,Duration,Emergency Stops,Real time factor,Reason,RouteLength,Running,Teleports,TimeLoss,UPS,Waiting,WaitingTime,clustering_algorithm,dqn,reward_function,scenario,simulation_steps,traffic_light_counts,vehicles_inserted,vehicles_loaded
0,"599, Jam",22.17,1643.09,67.0,0.448908,TraCI requested termination.,8228.18,25796.0,23976.0,1097.57,9585.177948,1065.0,957.34,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,10000,"[1, 2, 3, 4]",74080.0,250484.0
1,,0.01,259.57,28.0,0.155689,TraCI requested termination.,2735.5,2662.0,,56.78,198.995572,2.0,25.89,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,500,"[1, 2, 3, 4, 5, 6, 7]",2847.0,11748.0
2,"16, Yield",0.41,438.58,78.0,0.201213,TraCI requested termination.,4822.81,4623.0,90.0,109.55,501.106371,24.0,59.39,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,1000,"[1, 2, 3, 4, 5, 6, 7]",6109.0,20558.0
3,"33, Jam",0.68,561.56,92.0,0.20766,TraCI requested termination.,6278.04,6941.0,327.0,158.37,742.697232,59.0,98.17,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,1500,"[1, 2, 3, 4, 5, 6, 7]",10304.0,38178.0
4,"91, Jam",1.22,648.95,90.0,0.207437,TraCI requested termination.,6964.91,9830.0,775.0,212.74,1001.539241,108.0,144.25,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,2000,"[1, 2, 3, 4, 5, 6, 7]",15385.0,51988.0
5,"821, Jam",62.66,3150.5,454.0,0.165813,TraCI requested termination.,8263.18,23121.0,50366.0,2570.22,4392.819035,704.0,2361.73,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,15000,"[1, 2, 3, 4, 5, 6, 7]",74441.0,250484.0
6,"2, Yield",0.02,262.92,10.0,0.453939,TraCI requested termination.,2775.72,2665.0,5.0,58.12,580.914818,6.0,27.71,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,500,"[1, 2, 3, 4]",2843.0,11748.0
7,"10, Jam",0.43,443.76,9.0,0.486579,TraCI requested termination.,4815.6,4742.0,123.0,118.7,1231.539763,29.0,70.36,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,1000,"[1, 2, 3, 4]",6104.0,20558.0
8,"29, Jam",0.9,568.29,17.0,0.631967,TraCI requested termination.,6263.03,6850.0,285.0,164.36,2259.662653,59.0,102.75,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,1500,"[1, 2, 3, 4]",10304.0,38178.0
9,"75, Jam",1.34,649.48,22.0,0.669634,TraCI requested termination.,6838.97,9571.0,683.0,215.43,3207.195371,104.0,146.03,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,2000,"[1, 2, 3, 4]",15389.0,51988.0
10,"45, Jam",1.58,673.67,26.0,0.643784,TraCI requested termination.,7290.46,11571.0,798.0,212.03,3661.369929,127.0,137.9,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,2500,"[1, 2, 3, 4]",21187.0,75265.0
11,"128, Jam",2.08,717.08,71.0,0.683513,TraCI requested termination.,7158.93,15217.0,1859.0,263.34,5019.209434,213.0,189.15,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,3000,"[1, 2, 3, 4]",26727.0,90381.0
12,"105, Jam",2.78,766.78,45.0,0.671082,TraCI requested termination.,7243.73,17808.0,2754.0,305.43,5803.852905,424.0,226.38,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,3500,"[1, 2, 3, 4]",32513.0,114398.0
13,"198, Jam",3.41,806.87,34.0,0.675635,TraCI requested termination.,7490.8,20415.0,3256.0,331.26,6617.922068,566.0,246.85,clusters_maxabs_3dimensions,full,secondRewardFunction,cgn,4000,"[1, 2, 3, 4]",38385.0,130615.0
