,Collisions,DepartDelay,Duration,Emergency Stops,Real time factor,Reason,RouteLength,Running,Teleports,TimeLoss,UPS,Waiting,WaitingTime,clustering_algorithm,dqn,reward_function,scenario,simulation_steps,traffic_light_counts,vehicles_inserted,vehicles_loaded
0,,0.41,420.53,6,2.1133,TraCI requested termination.,inf,1340,,74.41,1715.669447,0,33.96,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,500,"[4, 6, 7]",2154,2176
1,1,0.46,514.7,9,2.10811,TraCI requested termination.,inf,1564,1,112.89,2179.009623,1,60.12,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,1000,"[4, 6, 7]",3423,3741
2,1,0.51,557.37,43,2.08292,TraCI requested termination.,inf,2046,1,130.6,2551.978307,19,71.91,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,1500,"[4, 6, 7]",5093,5163
3,4,0.91,574.91,34,2.10649,TraCI requested termination.,inf,2402,4,138.36,3018.0909,14,75.19,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,2000,"[4, 6, 7]",7001,7447
4,4,1.53,588.22,49,2.0763,TraCI requested termination.,inf,2653,4,142.42,3344.101838,8,76.54,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,2500,"[4, 6, 7]",9063,9167
5,5,1.65,602.46,64,2.07477,TraCI requested termination.,inf,2964,5,149.21,3698.974524,5,80.2,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,3000,"[4, 6, 7]",11350,11881
6,3,2.36,614.84,79,2.04486,TraCI requested termination.,inf,3114,3,155.68,3971.692395,45,83.92,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,3500,"[4, 6, 7]",13685,13862
7,"5, Wrong Lane",2.78,624.71,91,2.05856,TraCI requested termination.,inf,3562,7,161.51,4333.196431,25,87.19,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,4000,"[4, 6, 7]",16369,17030
8,4,2.68,629.59,100,2.05762,TraCI requested termination.,inf,3768,4,164.65,4645.706729,82,88.46,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,4500,"[4, 6, 7]",19091,19347
9,"7, Yield",3.56,639.67,129,2.04452,TraCI requested termination.,inf,3983,12,171.08,4924.543533,143,92.87,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,5000,"[4, 6, 7]",21984,22885
